ID,Question,Spotlight Spotter+ Spotlight NED,Spotlight Spotter+ AGDISTIS,Alchemy,Lucene Linker,Standford + AGDISTIS,Standford + DbpediaNER,FOX + AGDISTIS,FOX + DbpediaNER
89,Give me all soccer clubs in the Premier League.,1,1,0,1,1,1,0,0
90,When was Jack Wolfskin founded?,0,0,0,1,1,1,1,1
91,Which organizations were founded in 1930?,1,1,1,0,1,0,1,1
92,What is the highest mountain?,1,1,1,0,1,1,1,1
93,Was Natalie Portman born in the United States?,1,1,1,1,1,1,1,1
94,Which budget did the first movie of Zdenek Sverak have?,1,1,1,0,0,0,0,1
95,How many big fires struck Paris during the Middle Ages?,0,0,1,0,0,0,0,0
96,Is Pamela Anderson a vegan?,0,0,1,0,0,0,0,0
97,How often was Michael Jordan divorced?,0,0,1,0,0,0,0,0
98,What is the most beautiful painting?,1,1,1,0,1,1,1,1
99,Give me all animal species that live in the Amazon rainforest.,0,0,1,0,0,0,0,0
100,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,0,0,1,0,0,0,0,0
101,Which German cities have more than 250000 inhabitants?,1,1,0,1,1,1,0,0
102,Who was John F. Kennedy's vice president?,0,0,1,1,1,1,1,1
103,Who is the mayor of Tel Aviv?,1,1,1,1,1,1,1,1
104,How many students does the Free University in Amsterdam have?,0,0,0,1,0,0,0,0
105,What is the second highest mountain on Earth?,0,0,1,0,0,0,1,1
106,Give me all professional skateboarders from Sweden.,0,0,0,1,0,0,0,0
107,When was Alberta admitted as province?,1,1,0,1,1,1,1,1
108,To which countries does the Himalayan mountain system extend?,1,0,0,1,0,1,0,0
109,Give me a list of all bandleaders that play trumpet.,0,0,0,1,0,0,0,0
110,What is the total amount of men and women serving in the FDNY?,1,1,0,1,0,0,0,0
111,Who is the Formula 1 race driver with the most races?,0,0,1,0,1,1,1,1
112,Give me all world heritage sites designated within the past two years.,1,1,1,0,1,0,1,1
113,Who is the youngest player in the Premier League?,1,1,0,1,1,1,0,0
114,Give me all members of Prodigy.,0,1,0,1,0,0,0,0
115,What is the longest river?,1,1,1,0,1,1,1,1
116,Does Breaking Bad have more episodes than Game of Thrones?,0,0,0,1,0,0,0,0
117,Give me all cars that are produced in Germany.,1,1,0,1,1,1,1,1
118,What were the main discoveries of the Mars rover Curiosity?,0,1,1,0,0,0,0,0
119,Give me all people that were born in Vienna and died in Berlin.,1,1,0,1,1,1,1,1
120,How tall is Michael Jordan?,1,1,0,1,1,1,1,1
121,What is the capital of Canada?,1,1,1,1,1,1,1,1
122,Who is the governor of Wyoming?,1,1,1,1,1,1,1,1
123,Do Prince Harry and Prince William have the same parents?,0,1,0,1,0,0,0,0
124,Who was the father of Queen Elizabeth II?,1,1,1,1,1,1,1,1
125,Which U.S. state has been admitted latest?,1,1,0,0,1,0,1,0
126,How many languages are spoken in Turkmenistan?,1,1,1,1,1,1,1,1
127,Butch Otter is the governor of which U.S. state?,1,1,1,1,1,1,1,1
128,Give me all movies directed by Francis Ford Coppola.,1,1,1,1,1,1,1,1
129,Give me all actors starring in movies directed by William Shatner.,1,1,1,1,1,1,1,1
130,What is the birth name of Angela Merkel?,1,1,1,1,1,1,1,1
131,Give me all Methodist politicians.,1,1,0,1,1,1,0,0
132,How often did Jane Fonda marry?,1,1,1,1,1,1,1,1
133,Give me all Australian nonprofit organizations.,1,1,0,1,0,0,0,0
134,In which military conflicts did Lawrence of Arabia participate?,0,0,0,1,0,0,0,0
135,Who developed Minecraft?,1,0,0,1,0,1,0,1
136,What is the melting point of copper?,0,0,1,0,1,1,1,1
137,Give me all sister cities of Brno.,0,0,0,0,0,0,0,0
138,How many inhabitants does Maribor have?,1,1,1,1,1,1,1,1
139,Give me all companies in Munich.,1,1,0,1,1,1,1,1
140,List all games by GMT.,0,0,0,1,0,0,0,0
141,Who founded Intel?,1,1,1,1,1,1,1,1
142,Who is the husband of Amanda Palmer?,1,1,1,1,1,1,1,1
143,Give me all breeds of the German Shepherd dog.,1,1,0,1,0,0,0,0
144,Which cities does the Weser flow through?,1,1,0,1,1,1,1,1
145,Which countries are connected by the Rhine?,1,1,0,1,0,0,0,0
146,Which professional surfers were born in Australia?,0,0,0,1,0,0,0,0
147,What is the average temperature on Hawaii?,0,0,1,0,0,0,0,0
148,In which UK city are the headquarters of the MI6?,1,1,0,1,0,0,0,0
149,Which weapons did Heckler & Koch develop?,0,1,1,1,0,0,0,0
150,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,0,0,0,1,0,0,0,0
151,Give me all islands that belong to Japan.,1,1,0,1,1,1,1,1
152,Who invented the zipper?,0,1,1,0,1,1,1,1
153,What is the ruling party in Lisbon?,1,1,0,1,1,1,1,1
154,What are the nicknames of San Francisco?,1,0,0,0,0,1,0,1
155,Which Greek goddesses dwelt on Mount Olympus?,1,1,0,1,1,1,1,1
156,When were the Hells Angels founded?,1,1,1,1,1,1,1,1
157,Give me all Apollo 14 astronauts.,1,0,0,1,0,0,0,0
158,What is the time zone of Salt Lake City?,1,1,0,1,1,1,1,1
159,Which U.S. states are in the same time zone as Utah?,1,1,1,1,1,1,1,1
160,Give me a list of all lakes in Denmark.,1,1,0,1,1,1,1,1
161,How many missions does the Soyuz programme have?,1,1,0,1,0,0,0,0
162,Did Socrates influence Aristotle?,1,1,0,1,1,1,1,1
163,Give me all Danish movies.,1,0,0,1,0,1,0,0
164,Give me all launch pads operated by NASA.,1,1,1,1,1,1,1,1
165,Which instruments does Cat Stevens play?,1,1,1,1,1,1,1,1
166,Which ships were called after Benjamin Franklin?,1,1,0,1,1,1,1,1
167,Who are the parents of the wife of Juan Carlos I?,1,1,1,1,1,1,1,1
168,How many employees does Google have?,1,1,1,1,1,1,1,1
169,Did Tesla win a nobel prize in physics?,0,0,0,1,0,0,0,0
170,Is Rita Wilson the wife of Tom Hanks?,1,1,1,1,1,1,1,1
171,When was the Statue of Liberty built?,0,0,1,1,0,0,0,0
172,Where is Fort Knox located?,1,1,0,1,1,1,1,1
173,How many children did Benjamin Franklin have?,1,1,0,1,1,1,1,1
174,When did Michael Jackson die?,1,1,0,1,1,1,1,1
175,Which Chess players died in the same place they were born in?,1,1,1,0,1,1,1,1
176,List the children of Margaret Thatcher.,1,1,1,1,1,1,1,1
177,Who was called Frank The Tank?,1,1,1,0,1,1,1,1
178,Was Margaret Thatcher a chemist?,1,0,0,1,0,0,0,0
179,Was Marc Chagall a jew?,1,1,1,1,1,1,1,1
180,Give me all books by William Goldman with more than 300 pages.,1,1,1,1,1,1,1,1
181,Which books by Kerouac were published by Viking Press?,1,1,0,1,0,0,0,0
182,Give me a list of all American inventions.,0,0,1,0,0,0,1,1
183,How high is the Mount Everest?,1,1,1,1,1,1,1,1
184,Who created Batman?,1,1,0,1,1,1,1,1
185,How many people live in the capital of Australia?,1,1,1,1,1,1,1,1
186,What is the largest city in Australia?,1,1,0,1,1,1,1,1
187,Who composed the music for Harold and Maude?,0,0,0,1,0,0,0,0
188,Which films starring Clint Eastwood did he direct himself?,1,1,0,1,1,1,1,1
189,In which city was the former Dutch queen Juliana buried?,1,1,0,1,0,1,0,1
190,Where is the residence of the prime minister of Spain?,0,0,0,1,0,0,0,0
191,Which U.S. state has the abbreviation MN?,0,0,0,0,1,0,1,0
192,Show me all songs from Bruce Springsteen released between 1980 and 1990.,1,1,1,1,1,1,1,1
193,Which movies did Kurosawa direct?,0,0,0,1,1,1,1,1
194,What is the founding year of the brewery that produces Pilsner Urquell?,1,0,0,1,0,0,0,0
195,Who wrote the lyrics for the Polish national anthem?,0,0,0,1,0,0,0,0
196,Give me all B-sides of the Ramones.,0,0,0,1,0,0,0,0
197,Who painted The Storm on the Sea of Galilee?,0,0,0,1,0,0,0,0
198,Which country does the creator of Miffy come from?,1,1,0,1,0,0,0,0
199,For which label did Elvis record his first album?,1,1,0,1,1,1,1,1
200,Who produces Orangina?,1,0,0,1,0,1,0,1
201,Give me all taikonauts.,0,0,0,0,0,0,0,0
202,How many languages are spoken in Colombia?,1,1,0,1,1,1,1,1
203,Which poet wrote the most books?,0,0,0,1,0,0,0,0
204,How many programming languages are there?,0,0,1,0,1,1,1,1
205,Give me all Dutch parties.,1,0,0,1,0,1,0,0
206,When was Olof Palme shot?,0,1,1,1,1,0,1,0
207,Does the Isar flow into a lake?,1,1,0,1,1,1,1,1
208,Which rivers flow into a German lake?,1,1,0,1,1,1,0,0
209,How heavy is Jupiter's lightest moon?,1,0,0,1,0,1,0,0
210,Who is the youngest Darts player?,1,1,1,0,1,1,1,1
211,Give me all animals that are extinct.,0,1,1,0,1,1,1,1
212,How many pages does War and Peace have?,0,0,0,1,0,0,0,0
213,Which ingredients do I need for carrot cake?,1,0,0,1,0,0,0,0
214,What is the most frequent cause of death?,1,1,1,0,1,1,1,1
215,Who has Tom Cruise been married to?,1,1,1,1,1,1,1,1
216,Who is the tallest player of the Atlanta Falcons?,1,1,1,1,1,1,1,1
217,What is the bridge with the longest span?,1,1,1,0,1,1,1,1
218,Give me all films produced by Steven Spielberg with a budget of at least $80 million.,1,1,1,1,1,1,1,1
219,Is Cola a beverage?,0,0,0,1,0,0,0,0
220,Which actor was casted in the most movies?,1,1,1,0,1,1,1,1
221,Where was Bach born?,1,1,0,1,1,1,1,1
222,Which of Tim Burton's films had the highest budget?,1,1,1,1,1,1,1,1
223,Does Abraham Lincoln's death place have a website?,1,1,0,1,1,1,1,1
224,Who are the four youngest MVP basketball players?,0,0,0,0,1,0,1,1
225,What are the top-10 action role-playing video games according to IGN?,0,0,0,0,0,0,0,0
226,Give me all actors who were born in Berlin.,1,1,0,1,1,1,1,1
227,Give me all actors who were born in Paris after 1950.,1,1,0,0,1,1,1,1
228,What was Brazil's lowest rank in the FIFA World Ranking?,0,0,0,1,0,0,0,0
229,Give me all Australian metalcore bands.,1,0,0,1,0,0,0,0
230,When is Halloween?,1,0,0,1,0,1,0,0
231,How many inhabitants does the largest city in Canada have?,1,1,0,1,1,1,1,1
232,In which countries can you pay using the West African CFA franc?,1,0,0,1,0,0,0,0
233,Give me the capitals of all countries that the Himalayas run through.,1,1,1,1,1,1,1,1
234,Who was the first to climb Mount Everest?,1,1,1,1,1,1,1,1
235,To which artistic movement did the painter of The Three Dancers belong?,1,0,0,1,0,0,0,0
236,Which pope succeeded John Paul II?,1,1,1,1,1,1,1,1
237,What was the last movie with Alec Guinness?,1,1,1,1,1,1,1,1
238,How many James Bond movies are there?,0,0,1,0,0,0,0,0
239,Which actor played Chewbacca?,1,1,0,1,1,1,0,0
240,Give me the grandchildren of Elvis Presley.,1,1,1,1,1,1,1,1
241,Give me all writers that won the Nobel Prize in literature.,1,0,0,1,0,1,0,0
242,What is the official color of the University of Oxford?,0,0,1,1,0,1,0,1
243,Give me all Swedish oceanographers.,1,0,0,1,0,0,0,0
244,How deep is Lake Chiemsee?,1,1,1,1,1,1,1,1
245,Is James Bond married?,1,1,0,1,1,1,1,1
246,Which rockets were launched from Baikonur?,1,0,0,0,0,0,0,0
247,Give me all actors called Baldwin.,0,0,0,1,0,0,0,0
248,What does ICRO stand for?,1,1,1,0,1,1,1,1
249,In which studio did the Beatles record their first album?,0,0,1,0,1,0,1,1
250,How many gold medals did Michael Phelps win at the 2008 Olympics?,0,0,0,0,0,0,0,0
251,Which companies have more than 1 million employees?,1,1,1,0,0,0,1,1
252,Give all swimmers that were born in Moscow.,1,1,0,1,1,1,1,1
253,Who was called Rodzilla?,1,1,1,0,0,1,0,1
254,Show me the book that Muhammad Ali wrote.,0,0,0,1,0,0,0,0
255,How many museums does Paris have?,1,1,0,0,1,1,1,1
256,Which city has the most inhabitants?,1,1,1,0,1,1,1,1
257,Which city has the least inhabitants?,1,1,1,0,1,1,1,1
258,Give me all the TV shows with Neil Patrick Harris.,1,1,1,1,1,1,1,1
259,Who wrote The Hunger Games?,0,0,0,1,1,0,0,0
260,Show a list of soccer clubs that play in the Bundesliga.,0,1,0,1,1,0,0,0
261,What country is Mount Everest in?,1,1,1,1,1,1,1,1
262,Who is the founder of Penguin Books?,1,1,1,1,0,0,0,0
263,Which programming languages influenced Javascript?,0,0,0,1,0,0,0,0
264,Did Che Guevara have children?,1,1,1,1,1,1,1,1
265,List all the musicals with music by Leonard Bernstein.,1,1,1,1,1,1,1,1
266,Show me all the breweries in Australia.,1,1,0,1,1,1,1,1
267,When was the Titanic completed?,0,0,0,1,0,1,0,0
268,How much did Pulp Fiction cost?,1,0,0,1,0,0,0,0
269,How many airlines are there?,1,1,1,0,1,1,1,1
270,Who played Agent Smith in Matrix?,1,1,0,1,0,1,0,0
271,How much carbs does peanut butter have?,1,0,0,1,0,0,0,0
272,Which book has the most pages?,1,1,1,0,1,1,1,1
273,Which bridges cross the Seine?,1,1,0,1,1,1,1,1
274,Who is the mayor of the capital of French Polynesia?,1,1,0,1,1,1,1,1
275,When did Dracula's creator die?,0,0,0,1,0,0,0,0
276,What is the location of the Houses of Parliament?,0,0,0,1,0,0,0,0
277,Show me all English Gothic buildings in Kent.,0,1,0,1,1,0,0,0
278,Who was the pope that founded the Vatican Television?,1,0,0,0,0,1,0,1
279,What airlines are part of the SkyTeam alliance?,1,1,0,1,1,1,0,0
280,"What is the total population of Melbourne, Florida?",1,1,0,1,0,0,0,0
281,Which airports does Yeti Airlines serve?,1,1,1,1,1,1,1,1
282,In which year was Rachel Stevens born?,1,1,1,1,1,1,1,1
283,Where was JFK assassinated?,0,1,0,1,1,0,1,0
284,How many politicians graduated from Columbia University?,0,0,0,1,0,0,0,0
285,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,1,0,0,1,0,1,0,0
286,What is the highest volcano in Africa?,0,0,0,0,0,0,0,0
287,Which beer originated in Ireland?,1,0,0,1,0,0,0,0
288,What are the specialities of the UNC Health Care?,1,1,1,1,1,1,1,1
289,Who is the owner of Facebook?,1,1,1,1,1,1,1,1
290,From which region is the Melon de Bourgogne?,1,0,0,1,0,0,0,0
291,Who was influenced by Socrates?,1,1,0,1,1,1,1,1
292,Who was president of Pakistan in 1978?,0,0,0,1,0,0,0,0
293,Give me English actors starring in Lovesick.,0,0,0,0,0,0,0,0
294,Give me all types of eating disorders.,0,1,1,0,1,1,1,1
295,Who was married to president Chirac?,1,1,0,1,1,1,1,1
296,What is the largest metropolitan area in Washington state?,1,0,0,1,0,1,0,1
297,Where in France is sparkling wine produced?,1,0,0,1,0,0,0,0
298,Where did Hillel Slovak die?,1,1,0,1,0,0,1,1
299,What is the timezone in San Pedro de Atacama?,1,0,0,1,0,1,0,1
300,In which city does the Chile Route 68 end?,1,0,0,1,0,0,0,0
301,Give me all ESA astronauts.,1,1,0,1,0,0,0,0
302,Give me all Swedish holidays.,1,0,0,1,0,1,0,0
303,Who is the youngest Pulitzer Prize winner?,1,0,1,1,0,1,0,0
304,Which animals are critically endangered?,0,0,1,0,1,1,1,1
305,Which soccer players were born on Malta?,1,1,0,1,1,1,1,1
306,Did Arnold Schwarzenegger attend a university?,1,1,1,1,1,1,1,1
307,Which programming languages were influenced by Perl?,1,0,0,1,0,1,0,1
308,Is Barack Obama a democrat?,0,0,0,1,0,0,0,0
309,How many children does Eddie Murphy have?,1,1,0,1,1,1,1,1
310,Who is the oldest child of Meryl Streep?,1,1,1,1,1,1,1,1
311,Who killed John Lennon?,0,0,0,0,0,0,0,0
312,In which city is Air China headquartered?,1,1,1,1,1,1,0,0
313,Which frequent flyer program has the most airlines?,0,0,1,0,1,1,1,1
314,Which artists were born on the same date as Rachel Stevens?,1,1,1,1,1,1,1,1
315,How many scientists graduated from an Ivy League university?,1,1,0,1,1,1,0,0
316,Which types of grapes grow in Oregon?,0,0,0,0,0,0,0,0
317,Who is starring in Spanish movies produced by Benicio del Toro?,0,0,0,1,0,0,0,0
318,Who is the manager of Real Madrid?,1,1,0,1,1,1,1,1
319,Give me the currency of China.,1,1,0,1,1,1,1,1
320,Which movies starring Mickey Rourke were directed by Guy Ritchie?,1,0,1,1,0,1,0,1
321,Is Darth Vader Luke’s father?,0,0,0,1,0,0,0,0
322,How many companies were founded by the founder of Facebook?,1,1,1,1,1,1,1,1
323,How many companies were founded in the same year as Google?,1,1,1,1,1,1,0,0
324,Which subsidiary of TUI Travel serves both Glasgow and Dublin?,0,0,0,1,0,0,0,0
325,How many airlines are members of the Star Alliance?,1,1,0,1,1,1,1,1
326,Give me all spacecrafts that flew to Mars.,1,0,0,1,0,1,0,1
327,Which musician wrote the most books?,0,0,0,1,0,0,0,0
328,Show me everyone who was born on Halloween.,1,0,0,1,0,1,0,0
329,Give me all Swiss non-profit organizations.,0,0,0,1,0,0,0,0
330,In which country is Mecca located?,1,1,0,1,1,1,1,1
331,What is the net income of Apple?,1,0,0,1,0,0,0,0
332,What does the abbreviation FIFA stand for?,1,1,0,1,1,1,1,1
333,When did the Ming dynasty dissolve?,0,1,0,1,0,0,0,0
334,Which museum in New York has the most visitors?,0,0,0,1,0,0,0,0
335,Is Lake Baikal bigger than the Great Bear Lake?,1,1,1,1,1,1,1,1
336,Desserts from which country contain fish?,0,0,0,1,0,0,0,0
337,What is the highest mountain in Italy?,1,1,0,1,1,1,1,1
338,Where did the architect of the Eiffel Tower study?,1,1,1,1,1,1,1,1
339,Which Greek parties are pro-European?,0,0,0,1,0,0,0,0
340,What is the height difference between Mount Everest and K2?,1,0,0,1,0,0,0,0
341,Who is the mayor of Rotterdam?,1,1,1,1,1,1,1,1
342,In which city were the parents of Che Guevara born?,0,0,0,0,0,0,0,0
343,How high is the lighthouse in Colombo?,0,0,0,0,0,0,0,0
344,Are Taiko a kind of Japanese musical instruments?,0,0,0,1,0,0,0,0
345,How many ethnic groups live in Slovenia?,1,1,1,1,1,1,1,1
346,List the seven kings of Rome.,0,0,0,1,0,0,0,0
347,Who were the parents of Queen Victoria?,1,1,0,1,1,0,1,0
348,Who is the heaviest player of the Chicago Bulls?,1,1,1,1,1,1,1,1
349,Which volcanos in Japan erupted since 2000?,1,1,0,1,1,1,1,1
350,Who is the tallest basketball player?,0,1,0,0,1,1,1,1
,Total,242,209,145,273,198,206,,
